IDX,Source,Category,Topic,References,Description,Done
102,"Kevin, July 2020 survey",,What is the USCCB,,"The United States Conference of Catholic Bishops. What authority do they have, how are they comprised, and what are they responsible for?",8/24/22
103,"Kevin, July 2020 survey",,"The ""Devils Advocate"" ",,"Why do we always call the ""other"" side of an argument the ""Devil's Advocate?"" The Devil's Advocate is an official role in the canonization process",8/10/22
104,"Jared, July 2020 survey",,A day in the life of St Joseph,,Just another day caring for the son of God and a perfect wife. How did he do it? What do we know about him?,5/1/24
105,"Ty, July 2020 survey",,"St. Therese Of Lisieux, Doctor of the Catholic Church",,,12/9/20
106,"Ty, July 2020 survey",,The New Evangelization,,"The movement started by JP2. How did it begin, what are its goals, and how is it going?",11/18/20
107,"Ty, July 2020 survey",,Eucharistic Miracles  ,,,
108,Bryan,,The Jewish Roots of Holy Week,,For the Wednesdays before and during Holy Week. See document in Google Drive.,3/31/21
109,Kevin,,Interior Freedom (book),,"Author Jacques Philippe develops a simple but important theme: we gain possession of our interior freedom in exact proportion to our growth in faith, hope, and love. Read the book and discuss.",10/6/21
110,Josh via Bryan via online form,Living the Faith,Ask Fr Jorge to tell his Vocation story and talk about seminary,,Josh heard his testimony during the Meet Your Priest night,
111,JP via Bryan via online form,Living the Faith,Aquinas's Five Ways,,JP texted me about this Nov 17 2019. From Wikipedia: Five Ways to prove that God exists,6/23/21
112,Bryan,Catechism,"CCC 595-630, the death of jesus",,,4/13/22
113,"Brody, Nov 2020 survey",,Fratelli tutti,,"Encyclical Fratelli tutti (All Brothers) of the Holy Father Francis, 3 October 2020.
an overview, abridged study, or perhaps reading through someone else's summary (USCCB has a 1 page summary and 21 page overview)",8/3/22
114,"Tyler, Nov 2020 survey",,The Duties of Citizens CCC: 2238-2243,,,6/9/21
115,"Tyler, Nov 2020 survey",,Temptations in Prayer CCC 2729-2744,,,8/25/21
116,"Kevin, 3/10/21 at group",,Consecrations to saints,,,4/21/21
117,"Bryan, 3/11/21",,Consience,,,5/19/21
118,"Caleb, March 2021 Survey",,The 8 Deadly sins according to St. John Cassian,,,11/17/21
119,"Caleb, March 2021 Survey",,Interior Freedom/The Present Moment from a Buddhist perspective ,,,remove
120,"Bryan, 4/28/21",,God speaks to us through our desires,,"The role of desire in Ignatian Spirituality, based on the ""Catholic Stuff"" podcast ""Desire, Experience, Conversion"" (4/22/21)",9/29/21
121,Bryan for Kevin,Living the Faith,The Latin Mass,,Go to a Latin Mass together after talking about it,3/29/23
122,Bryan during group,Catechism,"Free will, predestination, and God's Omniscience",,,9/8/21
123,Josh (via Bryan),Living the Faith,The Ten Most Common Liturgical Abuses,,"See article from Josh from catholic.com, he sent it as a DM in GroupMe",12/15/21
124,"Caleb, August 2021 Survey",,I recently read a book on the Gnostic Gospels found in Nag Hammadi that could lead to an interesting discussion. It's the first major division in the Church that had to do with the balance between the authority of the Church vs someone's personal relationship with God,,,remove
125,"Paul, August 2021 Survey",,Virtues (Theological and Cardinal),,Paul has material from a book,
126,"Paul, August 2021 Survey",,"Silence, Silent Retreats, and Pilgrimages",,,3/16/22
127,"Paul, August 2021 Survey",,Authentic Friendships and Authentic Masculinity,,,2/2/22
128,"Paul, August 2021 Survey",,Our role in the local Church and the Universal Church,,,2/16/22
129,"Paul, August 2021 Survey",,Religious Orders ,,,
